,X,Y,Z,fid,overall_tn,begin,end,Track ID,Vessel Type Number,Ship Type_Length,Ship Type_Num,fid_2,id,intersects,length,Nearest,Hour
16,113.91411917202,22.4222493492327,0,17,349175,2021/11/15 03:08:24,2021/11/15 07:02:00,28169,70.0,STV,RTV,1,1,,5110.74,2021-11-15T09:41:00.000,10
17,113.914150010498,22.4221797715085,0,18,349175,2021/11/15 03:08:24,2021/11/15 07:02:00,28169,70.0,STV,RTV,1,1,,5110.74,2021-11-15T23:29:30.000,23
18,113.914131786804,22.4222208877776,0,19,304186,2021/11/15 07:47:36,2021/11/15 07:56:00,25821,,SC,,1,1,,5110.74,2021-11-15T23:29:30.000,23
19,113.914073918639,22.4223514498362,0,20,145397,2021/11/15 23:27:00,2021/11/15 23:49:59,17593,70.0,RTV,RTV,1,1,,5110.74,2021-11-15T09:41:30.000,10
20,113.91415056552,22.42217851927,0,21,89568,2021/11/15 04:56:03,2021/11/15 05:19:00,14685,70.0,RTV,RTV,1,1,,5110.74,2021-11-15T23:29:30.000,23
21,113.914082887581,22.4223312141247,0,22,118357,2021/11/15 09:22:18,2021/11/15 09:47:30,16166,,SC,,1,1,,5110.74,2021-11-15T09:41:30.000,10
22,113.913356476195,22.4239701422974,0,23,293871,2021/11/15 07:11:42,2021/11/15 09:46:01,25286,,SC,,1,1,,5110.74,2021-11-15T15:20:30.000,15
23,113.913372988454,22.4239328873665,0,24,293871,2021/11/15 07:11:42,2021/11/15 09:46:01,25286,,SC,,1,1,,5110.74,2021-11-15T08:35:42.000,9
24,113.912996134308,22.4247831450704,0,25,251535,2021/11/15 18:04:24,2021/11/15 18:57:06,23095,,SC,,1,1,,5110.74,2021-11-15T18:46:24.000,19
25,113.913006305171,22.4247601975847,0,26,251535,2021/11/15 18:04:24,2021/11/15 18:57:06,23095,,SC,,1,1,,5110.74,2021-11-15T18:14:24.000,18
26,113.913007966328,22.4247564496852,0,27,251535,2021/11/15 18:04:24,2021/11/15 18:57:06,23095,,SC,,1,1,,5110.74,2021-11-15T18:10:24.000,18
27,113.91333718473,22.4240136676684,0,28,36277,2021/11/15 19:30:39,2021/11/15 20:29:16,11903,,SC,,1,1,,5110.74,2021-11-15T19:38:06.000,20
28,113.914115849851,22.4222568447057,0,29,155279,2021/11/15 15:08:03,2021/11/15 23:58:30,18107,60.0,STV,PV,1,1,,5110.74,2021-11-15T09:41:00.000,10
29,113.913179713205,22.4243689546638,0,30,235012,2021/11/15 18:59:54,2021/11/15 19:04:27,22243,,SC,,1,1,,5110.74,2021-11-15T19:23:15.000,19
30,113.914102761828,22.4222863738811,0,31,367137,2021/11/15 22:21:36,2021/11/15 23:58:34,29105,70.0,STV,RTV,1,1,,5110.74,2021-11-15T09:41:00.000,10
31,113.914013821421,22.4224870410817,0,32,105639,2021/11/15 14:46:00,2021/11/15 15:02:00,15507,,SC,,1,1,,5110.74,2021-11-15T08:09:24.000,8
32,113.91405623323,22.4223913516261,0,33,140993,2021/11/15 08:39:30,2021/11/15 09:05:00,17362,,RTV,,1,1,,5110.74,2021-11-15T09:41:30.000,10
33,113.914108448553,22.4222735435012,0,34,128148,2021/11/15 00:01:48,2021/11/15 04:59:30,16687,70.0,STV,RTV,1,1,,5110.74,2021-11-15T09:41:00.000,10
34,113.914001827489,22.4225141017698,0,35,17596,2021/11/15 19:16:55,2021/11/15 20:27:30,10926,70.0,STV,RTV,1,1,,5110.74,2021-11-15T08:09:24.000,8
35,113.913206791061,22.4243078616504,0,36,512707,2021/11/15 07:17:36,2021/11/15 11:10:57,7876,,SC,,1,1,,5110.74,2021-11-15T08:32:03.000,9
36,113.913247347401,22.4242163585035,0,37,512707,2021/11/15 07:17:36,2021/11/15 11:10:57,7876,,SC,,1,1,,5110.74,2021-11-15T07:24:03.000,7
37,113.913012758963,22.4247456365497,0,38,70522,2021/11/15 05:38:45,2021/11/15 07:58:00,13690,,SC,,1,1,,5110.74,2021-11-15T00:05:03.000,0
38,113.91318328052,22.4243609060949,0,39,379210,2021/11/15 00:14:51,2021/11/15 00:15:00,29728,,RTV,,1,1,,5110.74,2021-11-15T19:23:15.000,19
39,113.913332985175,22.424023142698,0,40,173417,2021/11/15 01:00:42,2021/11/15 01:01:25,19046,,SC,,1,1,,5110.74,2021-11-15T19:40:06.000,20
40,113.914098258741,22.422296533739,0,41,148666,2021/11/15 00:00:39,2021/11/15 09:49:00,17765,70.0,STV,RTV,1,1,,5110.74,2021-11-15T09:41:00.000,10
41,113.913025337339,22.4247172572396,0,42,408142,2021/11/15 16:23:45,2021/11/15 16:24:17,31220,,SC,,1,1,,5110.74,2021-11-15T16:24:17.000,16
0,113.913218833878,22.4242806906666,0,1,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:47:30.000,0
1,113.913223690975,22.4242697320919,0,2,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:15:30.000,23
2,113.913227064124,22.424262121599,0,3,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:05:30.000,23
3,113.913230082769,22.4242553109378,0,4,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:39:30.000,0
4,113.913230207567,22.4242550293685,0,5,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:39:30.000,0
5,113.91323191725,22.4242511719832,0,6,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:01:30.000,23
6,113.91323335518,22.4242479277298,0,7,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:01:30.000,23
7,113.913242184213,22.4242280076796,0,8,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:29:30.000,23
8,113.913242471343,22.424227359857,0,9,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:29:30.000,23
9,113.913242562653,22.4242271538428,0,10,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T23:29:30.000,23
10,113.913246791445,22.42421761285,0,11,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T22:42:24.000,23
11,113.913249732471,22.4242109773126,0,12,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T22:47:30.000,23
12,113.913282042442,22.4241380796086,0,13,465069,2021/11/16 22:35:30,2021/11/16 23:59:30,5390,,SC,,1,1,,5110.74,2021-11-16T22:43:12.000,23
13,113.914068861365,22.4223628600503,0,14,516547,2021/11/16 16:10:51,2021/11/16 16:21:00,8078,,SC,,1,1,,5110.74,2021-11-16T09:31:00.000,10
14,113.913824330219,22.422914570818,0,15,185345,2021/11/16 04:31:15,2021/11/16 04:31:30,19656,,SC,,1,1,,5110.74,2021-11-16T04:31:15.000,5
15,113.913544405001,22.4235461376345,0,16,516118,2021/11/16 02:54:00,2021/11/16 02:56:00,8055,,SC,,1,1,,5110.74,2021-11-16T22:30:15.000,23
16,113.914168545548,22.4221379527602,0,17,221770,2021/11/16 00:01:34,2021/11/16 06:51:30,21557,70.0,STV,RTV,1,1,,5110.74,2021-11-16T07:23:30.000,7
17,113.914175638174,22.4221219503879,0,18,221771,2021/11/16 22:58:21,2021/11/16 23:59:34,21557,70.0,STV,RTV,1,1,,5110.74,2021-11-16T07:23:30.000,7
18,113.914146586287,22.4221874972092,0,19,271933,2021/11/16 05:16:18,2021/11/16 05:54:00,2415,,SC,,1,1,,5110.74,2021-11-16T06:58:30.000,7
19,113.914090513438,22.4223140086778,0,20,409353,2021/11/16 15:14:27,2021/11/16 16:26:30,31285,31.0,STV,TT_LF,1,1,,5110.74,2021-11-16T09:31:00.000,10
20,113.914090970007,22.422312978569,0,21,537248,2021/11/16 10:18:18,2021/11/16 10:46:30,9141,,SC,,1,1,,5110.74,2021-11-16T09:31:00.000,10
21,113.914176241436,22.4221205893096,0,22,312813,2021/11/16 06:59:39,2021/11/16 07:24:30,26270,,SC,,1,1,,5110.74,2021-11-16T07:23:30.000,7
22,113.914163777958,22.4221487093879,0,23,247851,2021/11/16 00:00:48,2021/11/16 07:10:30,2290,70.0,STV,RTV,1,1,,5110.74,2021-11-16T06:58:30.000,7
23,113.913388048157,22.4238989096893,0,24,355369,2021/11/16 03:22:12,2021/11/16 07:49:30,28492,,RTV,,1,1,,5110.74,2021-11-16T13:04:21.000,13
24,113.91344604224,22.4237680635338,0,25,355369,2021/11/16 03:22:12,2021/11/16 07:49:30,28492,,RTV,,1,1,,5110.74,2021-11-16T23:39:33.000,0
25,113.913522922266,22.4235946069468,0,26,233380,2021/11/16 22:11:51,2021/11/16 22:50:49,22158,,SC,,1,1,,5110.74,2021-11-16T09:21:30.000,9
26,113.91354379969,22.4235475033355,0,27,233380,2021/11/16 22:11:51,2021/11/16 22:50:49,22158,,SC,,1,1,,5110.74,2021-11-16T22:30:15.000,23
27,113.913547526241,22.4235390954989,0,28,233380,2021/11/16 22:11:51,2021/11/16 22:50:49,22158,,SC,,1,1,,5110.74,2021-11-16T22:30:15.000,23
28,113.913551836874,22.4235293698553,0,29,233380,2021/11/16 22:11:51,2021/11/16 22:50:49,22158,,SC,,1,1,,5110.74,2021-11-16T22:30:15.000,23
29,113.91408395397,22.4223288081392,0,30,349176,2021/11/16 03:24:24,2021/11/16 09:27:30,28169,70.0,STV,RTV,1,1,,5110.74,2021-11-16T09:31:00.000,10
30,113.914146006092,22.4221888062429,0,31,349176,2021/11/16 03:24:24,2021/11/16 09:27:30,28169,70.0,STV,RTV,1,1,,5110.74,2021-11-16T06:58:30.000,7
31,113.913025368306,22.4247171873712,0,32,332659,2021/11/16 22:28:36,2021/11/16 23:57:24,27302,,SC,,1,1,,5110.74,2021-11-16T23:04:09.000,23
32,113.913035247823,22.4246948972225,0,33,332659,2021/11/16 22:28:36,2021/11/16 23:57:24,27302,,SC,,1,1,,5110.74,2021-11-16T22:58:09.000,23
33,113.913064842087,22.4246281266929,0,34,332659,2021/11/16 22:28:36,2021/11/16 23:57:24,27302,,SC,,1,1,,5110.74,2021-11-16T22:30:09.000,23
34,113.913076897859,22.4246009264784,0,35,332659,2021/11/16 22:28:36,2021/11/16 23:57:24,27302,,SC,,1,1,,5110.74,2021-11-16T23:56:09.000,0
35,113.914081908103,22.4223334240202,0,36,204291,2021/11/16 09:22:45,2021/11/16 10:56:30,20645,31.0,STV,TT_LF,1,1,,5110.74,2021-11-16T09:31:00.000,10
36,113.914073530346,22.4223523259016,0,37,155279,2021/11/16 00:00:30,2021/11/16 10:34:00,18107,60.0,STV,PV,1,1,,5110.74,2021-11-16T09:31:00.000,10
37,113.914122834665,22.4222410855786,0,38,367137,2021/11/16 00:00:34,2021/11/16 20:29:00,29105,70.0,STV,RTV,1,1,,5110.74,2021-11-16T06:33:06.000,7
38,113.914029210295,22.4224523207274,0,39,291518,2021/11/16 09:22:12,2021/11/16 09:48:30,25167,,SC,,1,1,,5110.74,2021-11-16T09:28:00.000,9
39,113.914092438677,22.4223096649569,0,40,253556,2021/11/16 08:18:24,2021/11/16 09:40:30,23197,70.0,STV,RTV,1,1,,5110.74,2021-11-16T09:31:00.000,10
40,113.914086500973,22.4223230615957,0,41,253557,2021/11/16 23:15:09,2021/11/16 23:58:25,23197,70.0,STV,RTV,1,1,,5110.74,2021-11-16T09:31:00.000,10
41,113.913853634151,22.4228484553354,0,42,251461,2021/11/16 06:21:06,2021/11/16 07:17:36,23091,,SC,,1,1,,5110.74,2021-11-16T06:37:30.000,7
42,113.913856461268,22.4228420767978,0,43,251461,2021/11/16 06:21:06,2021/11/16 07:17:36,23091,,SC,,1,1,,5110.74,2021-11-16T06:37:30.000,7
43,113.91393181987,22.4226720528454,0,44,251461,2021/11/16 06:21:06,2021/11/16 07:17:36,23091,,SC,,1,1,,5110.74,2021-11-16T07:00:36.000,7
44,113.91411169386,22.4222662214456,0,45,251461,2021/11/16 06:21:06,2021/11/16 07:17:36,23091,,SC,,1,1,,5110.74,2021-11-16T06:33:06.000,7
45,113.914111735547,22.422266127391,0,46,251461,2021/11/16 06:21:06,2021/11/16 07:17:36,23091,,SC,,1,1,,5110.74,2021-11-16T06:33:06.000,7
46,113.914118281452,22.4222513585311,0,47,167633,2021/11/16 23:27:45,2021/11/16 23:58:09,18750,70.0,RTV,RTV,1,1,,5110.74,2021-11-16T06:33:06.000,7
47,113.914094462544,22.4223050987119,0,48,128149,2021/11/16 14:00:51,2021/11/16 23:59:48,16687,70.0,STV,RTV,1,1,,5110.74,2021-11-16T09:31:00.000,10
48,113.914072466463,22.4223547262329,0,49,445403,2021/11/16 22:18:21,2021/11/16 23:22:55,4376,70.0,STV,RTV,1,1,,5110.74,2021-11-16T09:31:00.000,10
49,113.914180613477,22.4221107251187,0,50,255298,2021/11/16 06:20:36,2021/11/16 06:41:30,23286,,SC,,1,1,,5110.74,2021-11-16T07:23:30.000,7
50,113.914010236958,22.4224951283412,0,51,154805,2021/11/16 02:09:54,2021/11/16 02:16:30,18080,,SC,,1,1,,5110.74,2021-11-16T09:28:00.000,9
51,113.914082994911,22.4223309719669,0,52,148667,2021/11/16 09:40:24,2021/11/16 23:58:39,17765,70.0,STV,RTV,1,1,,5110.74,2021-11-16T09:31:00.000,10
0,113.914072230076,22.4223552595685,0,1,546210,2021/11/17 10:18:15,2021/11/17 10:45:30,9597,,SC,,1,1,,5110.74,2021-11-17T10:19:30.000,10
1,113.913492173116,22.4236639831281,0,2,552325,2021/11/17 02:52:39,2021/11/17 03:17:00,992,,SC,,1,1,,5110.74,2021-11-17T01:08:21.000,1
2,113.913147263568,22.424442167483,0,3,448995,2021/11/17 23:57:51,2021/11/17 23:59:00,4563,,SC,,1,1,,5110.74,2021-11-17T00:18:33.000,0
3,113.914103287065,22.4222851888409,0,4,150251,2021/11/17 07:09:51,2021/11/17 09:40:00,17845,,STV,,1,1,,5110.74,2021-11-17T10:19:30.000,10
4,113.914180363715,22.4221112886306,0,5,150252,2021/11/17 23:18:36,2021/11/17 23:59:51,17845,70.0,STV,RTV,1,1,,5110.74,2021-11-17T07:11:00.000,7
5,113.914173061512,22.4221277638488,0,6,131601,2021/11/17 01:56:18,2021/11/17 02:16:30,16861,,SC,,1,1,,5110.74,2021-11-17T07:11:00.000,7
6,113.914081696747,22.4223339008828,0,7,468536,2021/11/17 04:54:45,2021/11/17 05:05:30,5575,,SC,,1,1,,5110.74,2021-11-17T10:19:30.000,10
